Conectado ao TiDB.
Encontrados 293 estabelecimentos.
ID: 902260012, Slug: teatro-viradalata, Name: Teatro Viradalata, Items: 9
ID: 902260035, Slug: guilhotina-bar, Name: Guilhotina Bar, Items: 8
ID: 902260038, Slug: delivery-chef-pascal-valero-gastronomia-francesa, Name: Delivery Chef Pascal Valero - Gastronomia francesa, Items: 12
ID: 902260039, Slug: chicago-bistro-pudim-gourmet, Name: Chicago Bistrô - Pudim Gourmet, Items: 8
ID: 902260040, Slug: chef-apptite-ana-junqueira-comida-low-carb, Name: Chef Apptite - Ana Junqueira - Comida Low Carb, Items: 10
ID: 902260042, Slug: quitandinha-bar, Name: Quitandinha Bar, Items: 6
ID: 902260047, Slug: bar-do-juarez-moema, Name: Bar do Juarez Moema, Items: 0
ID: 902260051, Slug: sao-conrado-bar-pinheiros, Name: São Conrado Bar - Pinheiros, Items: 15
ID: 902260070, Slug: go-pub-brooklin, Name: Go Pub & Restaurante - Brooklin, Items: 14
ID: 902260089, Slug: mug-sp-avenida-paulista, Name: mug.sp - Avenida Paulista, Items: 10
ID: 902260092, Slug: mug-sp-casarao-pamplona, Name: mug.sp - Casarão Pamplona, Items: 15
ID: 902260095, Slug: martoca-padaria, Name: Martoca - Padaria Artesanal, Items: 14
ID: 902260113, Slug: luiza-lafer, Name: Luiza Lafer Confeitaria, Items: 11
ID: 902260132, Slug: club-lotus-zn, Name: Club Lotus ZN, Items: 4
ID: 902260136, Slug: le-jazz-brasserie-pinheiros, Name: Le Jazz Brasserie, Items: 17
ID: 902260146, Slug: trilha-cervejaria, Name: TRILHA Cervejaria - Itaim, Items: 12
ID: 902260149, Slug: cervejaria-ducabra, Name: Cervejaria e Hamburgueria Ducabra, Items: 10
ID: 902260152, Slug: soul-hops-berrini, Name: Soul Hops - Berrini, Items: 31
ID: 902260184, Slug: h-sushi-bar, Name: Hō Sushi Bar, Items: 12
ID: 902260189, Slug: henna-japanese-food-sushi-gourmet-no-ipiranga-deli, Name: Henna Japanese Food – Sushi Gourmet no Ipiranga - Delivery de Comida Japonesa, Items: 12
ID: 902260196, Slug: ikkousha-tonkotsu-ramen, Name: Ikkousha Tonkotsu Ramen, Items: 15
